zip,month,zip_hours,over_hours
10001,11,85.81818181818181,312.8146596858639
10002,11,46.4,312.8146596858639
10003,11,143.33333333333334,312.8146596858639
10005,11,215.0,312.8146596858639
10007,11,2.0,312.8146596858639
10009,11,551.25,312.8146596858639
10010,11,9.333333333333334,312.8146596858639
10011,11,53.55555555555556,312.8146596858639
10012,11,38.142857142857146,312.8146596858639
10013,11,1.5,312.8146596858639
10014,11,838.0,312.8146596858639
10016,11,741.25,312.8146596858639
10017,11,146.5,312.8146596858639
10018,11,22.0,312.8146596858639
10019,11,136.5,312.8146596858639
10021,11,33.333333333333336,312.8146596858639
10022,11,12.0,312.8146596858639
10023,11,431.125,312.8146596858639
10024,11,486.25,312.8146596858639
10025,11,379.875,312.8146596858639
10026,11,50.2,312.8146596858639
10027,11,35.375,312.8146596858639
10028,11,70.0,312.8146596858639
10029,11,241.4,312.8146596858639
10030,11,15.6,312.8146596858639
10031,11,265.5625,312.8146596858639
10032,11,438.125,312.8146596858639
10033,11,110.0,312.8146596858639
10034,11,3.5,312.8146596858639
10035,11,85.0,312.8146596858639
10036,11,85.0,312.8146596858639
10038,11,51.0,312.8146596858639
10039,11,5025.0,312.8146596858639
10040,11,717.5,312.8146596858639
10065,11,73.0,312.8146596858639
10075,11,3553.0,312.8146596858639
10128,11,54.75,312.8146596858639
10151,11,32.0,312.8146596858639
10301,11,66.2,312.8146596858639
10302,11,70.0,312.8146596858639
10303,11,118.0,312.8146596858639
10304,11,2.5,312.8146596858639
10305,11,74.0,312.8146596858639
10306,11,760.75,312.8146596858639
10307,11,80.0,312.8146596858639
10308,11,406.3333333333333,312.8146596858639
10309,11,58.666666666666664,312.8146596858639
10310,11,42.0,312.8146596858639
10312,11,101.0,312.8146596858639
10314,11,27.666666666666668,312.8146596858639
10451,11,167.16666666666666,312.8146596858639
10452,11,314.0,312.8146596858639
10453,11,412.75,312.8146596858639
10454,11,857.3333333333334,312.8146596858639
10455,11,1610.3333333333333,312.8146596858639
10456,11,580.5555555555555,312.8146596858639
10457,11,373.1111111111111,312.8146596858639
10458,11,1014.4545454545455,312.8146596858639
10459,11,310.22222222222223,312.8146596858639
10460,11,432.09090909090907,312.8146596858639
10461,11,296.0,312.8146596858639
10462,11,134.0,312.8146596858639
10463,11,334.1111111111111,312.8146596858639
10464,11,166.5,312.8146596858639
10465,11,43.333333333333336,312.8146596858639
10466,11,385.0769230769231,312.8146596858639
10467,11,282.3636363636364,312.8146596858639
10468,11,180.36363636363637,312.8146596858639
10469,11,874.5,312.8146596858639
10470,11,592.75,312.8146596858639
10471,11,192.0,312.8146596858639
10472,11,196.42857142857142,312.8146596858639
10473,11,262.75,312.8146596858639
10474,11,57.0,312.8146596858639
10475,11,613.0,312.8146596858639
