40990204,11/20/2018 08:26:58 AM,01/20/2019 06:19:24 AM,10014
40990205,11/20/2018 03:18:05 PM,11/21/2018 12:00:00 AM,11221
40990206,11/20/2018 12:23:08 PM,11/20/2018 01:43:27 PM,10307
40990207,11/20/2018 03:33:00 AM,11/21/2018 10:38:00 AM,10026
40990209,11/20/2018 05:48:12 PM,11/20/2018 06:07:25 PM,11209
40990210,11/20/2018 12:11:59 PM,12/18/2018 07:00:25 AM,10014
40990211,11/20/2018 10:56:00 PM,11/21/2018 10:54:00 AM,10001
40990212,11/20/2018 12:21:00 PM,11/21/2018 11:40:00 AM,11205
40990213,11/20/2018 06:15:00 AM,11/20/2018 08:05:00 AM,11101
40990214,11/20/2018 02:14:00 PM,11/20/2018 02:16:00 PM,10001
40990215,11/20/2018 08:28:34 AM,11/20/2018 02:57:16 PM,10451
40990220,11/20/2018 12:36:41 PM,11/27/2018 12:00:00 AM,11219
40990221,11/20/2018 03:32:21 PM,12/06/2018 09:18:05 AM,11001
40990222,11/20/2018 11:38:48 AM,11/26/2018 03:01:44 PM,11209
40990223,11/20/2018 09:52:19 AM,11/23/2018 01:40:28 PM,10128
40990224,11/20/2018 07:49:28 AM,12/10/2018 02:21:31 PM,11216
40990225,11/20/2018 02:19:07 PM,,11201
40990228,11/20/2018 03:49:11 PM,06/05/2019 12:00:00 AM,11207
40990231,11/21/2018 12:28:55 AM,11/21/2018 03:06:00 AM,10021
40990232,11/21/2018 12:01:10 AM,11/21/2018 03:16:05 AM,10035
40990233,11/20/2018 11:51:38 PM,11/21/2018 04:41:51 AM,10465
40990236,11/20/2018 10:21:59 AM,11/27/2018 08:53:09 AM,10024
40990237,11/20/2018 08:17:00 AM,11/23/2018 09:55:47 AM,11378
40990240,11/20/2018 07:17:34 PM,12/31/2018 09:28:30 AM,11226
40990241,11/20/2018 12:58:13 PM,12/19/2018 04:10:51 PM,11103
40990242,11/20/2018 09:16:16 PM,12/07/2018 10:08:57 AM,11201
40990243,11/20/2018 03:06:01 PM,12/10/2018 12:37:48 PM,11226
40990244,11/20/2018 04:16:47 AM,12/10/2018 08:22:31 AM,11235
40990245,11/20/2018 12:06:03 PM,11/21/2018 03:43:02 PM,11691
40990246,11/20/2018 04:42:14 PM,12/10/2018 03:17:17 PM,10468
40990247,11/20/2018 09:25:04 PM,12/06/2018 06:03:29 PM,11215
40990248,11/20/2018 04:09:29 PM,12/06/2018 08:52:57 AM,10029
40990249,11/20/2018 12:06:03 PM,11/21/2018 03:43:02 PM,11691
40990250,11/20/2018 01:24:25 PM,01/19/2019 10:46:42 AM,10040
